nome,preço,categoria,origem,imagem,data_extração,data_validade_promoção
Espuma de Barbear Nivea 193g,22.98,Higiêne pessoal,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/espuma_de_barbear_nivea_men_195g_310716_copy.png,2023-11-06 16:18:15.972914,06/11/2023
Talco Barla Antisséptico 140g,4.99,Higiêne pessoal,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/talco_barla_140g_121014_copy.png,2023-11-06 16:18:15.973436,06/11/2023
Toalha de Papel Social Clean c/2 unids,2.99,Higiêne pessoal,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/toalha_de_papel_social_clean_141110_copy.png,2023-11-06 16:18:15.973955,06/11/2023
Alvejante Vanish Sachê 500ml,6.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/alvejante_vanish_sache_500ml_170515_copy.png,2023-11-06 16:18:17.486732,06/11/2023
Amaciante Big Soft 2 litros,4.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/amaciante_big_soft_litros_061019_copy.png,2023-11-06 16:18:17.487393,06/11/2023
Amaciante Downy  500ml,9.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/amaciante_downy_tropical_de_verao_500ml_240319_copy.png,2023-11-06 16:18:17.487915,06/11/2023
Amaciante de Roupas Concentrado Ypê 500ml,4.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/amaciante_ypee_concentrado_500ml_111118_copy.png,2023-11-06 16:18:17.488480,06/11/2023
Amaciante Ypê Aconchego 2L,5.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/ype_aconchergo_promo.png,2023-11-06 16:18:17.489012,06/11/2023
Cera Bilho Fácil 750ml,8.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cera_brilho_faucil_750ml_140517_copy.png,2023-11-06 16:18:17.489553,06/11/2023
Detergente Ypê 500ml,1.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/detergente_ype_500ml_021218_copy.png,2023-11-06 16:18:17.490083,06/11/2023
Glade Aerossol 360ml c/20% Desc.,8.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/odorizador_glade_20_desconto_360ml_150418_copy.png,2023-11-06 16:18:17.490603,06/11/2023
Inseticida Baygon Ação Total 360ml,8.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/inseticida_baygon_embalafem_economica_360ml_100219_copy.png,2023-11-06 16:18:17.491141,06/11/2023
"Lava Roupas em pó Omo Lavagem Perfeita 1,6kg",14.98,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/lava_roupas_omo_lavagem_perfeita_16kg_251020_copy.png,2023-11-06 16:18:17.491662,06/11/2023
"Lava Roupas Pó Tixan Ypê Maciez 1,6kg",13.98,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/16_mciez_promo.png,2023-11-06 16:18:17.492189,06/11/2023
Lava Roupas Líquido Brilhante 3 Litros,18.98,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/sabao_liquido_brilhante_3_litros_160220_copy.png,2023-11-06 16:18:17.492717,06/11/2023
Lava Roupas Líquido Tixan Ypê 3 Litros,18.98,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/sabaao_liquido_tixan_ypee_3_litros_111118_copy.png,2023-11-06 16:18:17.493238,06/11/2023
Limpador Multiuso Uau 500ml,2.77,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/pack_uau_multiuso_500ml_070517_copy.png,2023-11-06 16:18:17.493767,06/11/2023
Limpador Multiuso Ypê 500ml,2.47,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/multi_uso_ype_classico_500ml_191018_copy.png,2023-11-06 16:18:17.494287,06/11/2023
Limpador Veja Cloro Limpeza Pesada 500ml c/ 20% Desconto,5.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/veja_gold_limpeza_pesada_20_desc_500ml_201017_copy_0.png,2023-11-06 16:18:17.494808,06/11/2023
Limpador Vim Cloro Gel 700ml,9.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/vim_cloro_gel_700ml_191018_copy.png,2023-11-06 16:18:17.495337,06/11/2023
Sabão Pastoso Neutral 500g,8.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/sabao_pastoso_neutral_500g_221102_copy.png,2023-11-06 16:18:17.495861,06/11/2023
Sabão Pastoso Ruth Coco 500g,5.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/sabao_pastoso_ruth_500g_081117_copy.png,2023-11-06 16:18:17.496381,06/11/2023
Saponáceo Cif Cremoso 250ML,5.99,Limpeza,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cif_saponaceo_cremoso_250ml_070413_copy.png,2023-11-06 16:18:17.496901,06/11/2023
Mistura para Bolo Italac 400g,3.47,Massas,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/mistura_para_bolo_italac_400g_201017_copy_0.png,2023-11-06 16:18:18.174856,06/11/2023
Achocolatado Italakinho 200ml,0.89,Matinais e padaria,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/bebida_lactea_italakinho_italac_200ml_211016_copy.png,2023-11-06 16:18:18.862084,06/11/2023
Aveia Yoki em Flocos 170g,3.49,Matinais e padaria,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/yoki_aveia_em_flocos_170g_300417_copy.png,2023-11-06 16:18:18.862611,06/11/2023
Café  Melitta  500g,15.98,Matinais e padaria,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/cafe_melitta_trad_sache_500g_050818_copy.png,2023-11-06 16:18:18.863155,06/11/2023
Café Pimpinela Golden  500g,13.98,Matinais e padaria,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/download.jpg,2023-11-06 16:18:18.863672,06/11/2023
Cereal Matinal Nescau 210g,6.99,Matinais e padaria,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/nescau_cereal_210g_030319_copy.png,2023-11-06 16:18:18.864190,06/11/2023
Leite em Pó Desn. Molico LT Nestlé Leve 280g Pg 252g,12.98,Matinais e padaria,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/leite_em_po_desnatado_molico_10_por_cento_gratis_280g_120820_copy.png,2023-11-06 16:18:18.864709,06/11/2023
Leite em Pó Inst. Glória Sachê 400g,9.99,Matinais e padaria,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/leite_em_po_inst_gloria_integral_400g_250820_copy.png,2023-11-06 16:18:18.865225,06/11/2023
Leite em Pó Inst. Italac Sachê 400g,10.9,Matinais e padaria,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/leite_em_po_italac_integral_instantaneo_400_160220_copy.png,2023-11-06 16:18:18.865740,06/11/2023
Pão de Forma Seven Boys Tradicional 450g,4.99,Matinais e padaria,Supermercados Guanabara,www.supermercadosguanabara.com.br:443/sites/default/files/sistema/encarte/produtos/pao_de_forma_seven_boys_trad_450g_141020_copy.png,2023-11-06 16:18:18.866256,06/11/2023
